# scale mvir dist vel rvir rs vmax rvmax x y z
0.0822 16640000.0 0.37162735638858324 14.89075549266948 6.554 1.74 12.09 5.20031 61.66675 63.13299 64.18099
0.08116 15440000.0 0.37146058518936753 17.061129811163095 6.392 1.615 11.99 4.91414 61.66303 63.13486 64.16992
0.08013 14380000.0 0.371108782790806 13.938388615961728 6.243 1.455 11.92 4.57725 61.6592 63.1368 64.15901
0.07912 13460000.0 0.3702111856135945 15.537171183785704 6.107 1.496 11.51 4.33676 61.6557 63.13953 64.14797
0.07812 12620000.0 0.3703152311220651 14.694559990421173 5.977 1.661 11.62 3.75446 61.65164 63.14122 64.13712
0.07713 11670000.0 0.37021952706847283 15.032455695142314 5.823 1.287 11.51 3.78406 61.64784 63.1431 64.12684
0.07615 10750000.0 0.37003909003972957 16.696713816009655 5.666 1.17 11.39 2.51864 61.64461 63.14502 64.11642
0.07519 10050000.0 0.3694696627641525 16.336472215028916 5.539 1.516 11.1 2.61986 61.64149 63.14726 64.10614
0.07423 9658000.0 0.3693794770635914 17.241217705279873 5.467 1.075 11.1 3.27954 61.63784 63.14941 64.09596
0.07329 9164000.0 0.3686642149291235 15.882657719327064 5.373 1.192 10.85 3.11144 61.63451 63.15169 64.08602
0.07236 8600000.0 0.3695277453326543 14.302599654564519 5.26 1.178 10.74 2.94442 61.63041 63.15314 64.07644
0.07145 8354000.0 0.3694208211298565 13.211545024331452 5.209 1.315 10.44 2.7071 61.6269 63.15517 64.06678
0.07054 7684000.0 0.3688800770920209 13.216544357164409 5.066 1.022 10.14 3.61929 61.62354 63.15744 64.05681
0.06965 7190000.0 0.3694741083876048 11.96261652900382 4.955 0.923 10.04 2.35193 61.61995 63.15883 64.04793
0.06877 6380000.0 0.36870880679415413 14.2639585230469 4.762 1.027 9.78 2.99698 61.61702 63.16112 64.03787
0.0679 5463000.0 0.3690554345741055 13.68124681992618 4.522 0.611 9.71 2.418 61.61364 63.16274 64.02919
0.06704 5040000.0 0.36945102163070326 12.934316186100801 4.402 0.538 9.56 2.22754 61.61022 63.16417 64.02048
0.06619 4758000.0 0.36877540482808135 14.02135601631226 4.318 0.618 9.21 1.7289 61.60708 63.16654 64.01137
